target,censored,feature,S1,S1_conf,ST,ST_conf
time_to_greyout_s,True,g_peak_abs,0.6458702444304504,0.07908459887546437,0.8757009332172929,0.0698524163003922
time_to_greyout_s,True,dgdt_max_g_per_s,0.02536234511497168,0.029738429192194753,0.07131532022179674,0.020674455136232988
time_to_greyout_s,True,profile_duration_s,0.07570001679725369,0.044522975980685234,0.27674094735443405,0.05002669387969965
time_to_greyout_s,True,dehydration_level,0.00010997786410108701,0.002430925356215223,0.0005183185608888956,0.0001987368567362127
time_to_greyout_s,True,g_tolerance_multiplier,-5.984762661846005e-05,0.0007544628434226546,3.4333614062760694e-05,3.073659083419904e-05
time_to_greyout_s,True,gsuit_max_psi,0.0,0.0,0.0,0.0
time_to_greyout_s,True,gsuit_coverage_fraction,0.0,0.0,0.0,0.0
time_to_greyout_s,True,agsm_effectiveness,-0.0021492925249903226,0.009265966754927146,0.011625407320044348,0.009022998559760048
time_to_greyout_s,True,pbg_max_mmhg,0.0,0.0,0.0,0.0
time_to_blackout_s,True,g_peak_abs,0.7438944971343582,0.07493640983671244,0.9237761528041618,0.07179430890819004
time_to_blackout_s,True,dgdt_max_g_per_s,0.020202087611706672,0.02623163060274474,0.06690888026311977,0.024032003502255397
time_to_blackout_s,True,profile_duration_s,0.020440914301454834,0.036012472634847845,0.20259096349067338,0.04646675210690255
time_to_blackout_s,True,dehydration_level,0.0010119810625971884,0.0030072658298438432,0.0009197765535893747,0.00044309460856043804
time_to_blackout_s,True,g_tolerance_multiplier,-0.00033464083509165835,0.0005782159696588224,5.0648218413504e-05,1.5308494388117623e-05
time_to_blackout_s,True,gsuit_max_psi,0.0,0.0,0.0,0.0
time_to_blackout_s,True,gsuit_coverage_fraction,0.0,0.0,0.0,0.0
time_to_blackout_s,True,agsm_effectiveness,-0.006294276642454283,0.014918252110088664,0.021578752123440705,0.009704371956548894
time_to_blackout_s,True,pbg_max_mmhg,0.0,0.0,0.0,0.0
time_to_gloc_s,True,g_peak_abs,0.6795744315816923,0.11238933054573697,0.9416202375727329,0.08388668561010591
time_to_gloc_s,True,dgdt_max_g_per_s,0.023131017512442863,0.022580305063221798,0.08883733064023065,0.03229295401300961
time_to_gloc_s,True,profile_duration_s,0.08816332312858553,0.04766324507777704,0.2547950236241655,0.053277994227562964
time_to_gloc_s,True,dehydration_level,0.001557691418132519,0.003039259090289108,0.0015389968278592587,0.001002565246598265
time_to_gloc_s,True,g_tolerance_multiplier,2.0093981133516583e-05,2.9400164705892344e-05,1.1327467421116919e-07,4.612416895002629e-08
time_to_gloc_s,True,gsuit_max_psi,0.0,0.0,0.0,0.0
time_to_gloc_s,True,gsuit_coverage_fraction,0.0,0.0,0.0,0.0
time_to_gloc_s,True,agsm_effectiveness,0.002472129395350661,0.01336319324701001,0.02165437737988438,0.012188048604140285
time_to_gloc_s,True,pbg_max_mmhg,0.0,0.0,0.0,0.0
hlap_min,False,g_peak_abs,1.66657034700419e-05,0.0004072019807369758,2.684254878902389e-05,4.064578778121755e-06
hlap_min,False,dgdt_max_g_per_s,0.00012383566749196232,0.0004948109950013527,3.785813036201375e-05,1.051766060860933e-05
hlap_min,False,profile_duration_s,1.838387547747781e-05,0.0007756691160778378,8.184933995603702e-05,7.351519745250051e-06
hlap_min,False,dehydration_level,1.0046842286321434,0.06712791291302965,1.0046941282815565,0.0643435571273815
hlap_min,False,g_tolerance_multiplier,-0.00010011882674615178,0.00011512758459469864,2.5420271162217376e-06,2.8777623786026363e-06
hlap_min,False,gsuit_max_psi,0.0,0.0,0.0,0.0
hlap_min,False,gsuit_coverage_fraction,0.0,0.0,0.0,0.0
hlap_min,False,agsm_effectiveness,-0.00010244374398400827,0.0002156093018071585,6.252492224066919e-06,1.3562035129182075e-06
hlap_min,False,pbg_max_mmhg,0.0,0.0,0.0,0.0
c_bank_min,False,g_peak_abs,0.7437385015452138,0.0682748445587522,0.7932027869178256,0.06452990119038692
c_bank_min,False,dgdt_max_g_per_s,0.007991014407561125,0.0071206563593353206,0.006891164211215385,0.0007738316697350709
c_bank_min,False,profile_duration_s,0.1740223512260453,0.045133803622418874,0.21770063210948656,0.02976114745106196
c_bank_min,False,dehydration_level,0.0001825455770573052,0.0015593018328629164,0.00034722709734647916,4.13312039281366e-05
c_bank_min,False,g_tolerance_multiplier,-3.1803094719391896e-05,0.00021111599601277052,5.6098841506433865e-06,1.0752522364677217e-06
c_bank_min,False,gsuit_max_psi,0.0,0.0,0.0,0.0
c_bank_min,False,gsuit_coverage_fraction,0.0,0.0,0.0,0.0
c_bank_min,False,agsm_effectiveness,0.0037827219418572304,0.006314647079497504,0.007498316997429899,0.0041132564552263245
c_bank_min,False,pbg_max_mmhg,0.0,0.0,0.0,0.0
