target,censored,feature,mu,mu_star,sigma,mu_star_conf
time_to_greyout_s,True,g_peak_abs,4.1711081237177146,4.210581195698074,4.354465677063274,0.5183540688181671
time_to_greyout_s,True,dgdt_max_g_per_s,-0.36926588214070577,0.7590687496706898,1.922943153209928,0.26634813769020016
time_to_greyout_s,True,profile_duration_s,-0.21677403800278205,2.6444261278900836,4.5896940768595105,0.551941193286416
time_to_greyout_s,True,dehydration_level,0.05756768431470273,0.09500818366608466,0.3422690559067216,0.048905373218594415
time_to_greyout_s,True,g_tolerance_multiplier,0.00313632356220093,0.00833448366524419,0.020701844909298012,0.002621960742220174
time_to_greyout_s,True,gsuit_max_psi,-0.34893718321567024,0.4152949182315623,1.5989813320657094,0.2383454126530184
time_to_greyout_s,True,gsuit_coverage_fraction,-0.008900850881972013,0.019954331777056734,0.10173630086425964,0.013311422259550372
time_to_greyout_s,True,agsm_effectiveness,0.007770077722185731,0.13209678041125777,0.5307087776681666,0.07426501886710168
time_to_greyout_s,True,pbg_max_mmhg,-1.5308275276534542e-06,3.106489037640169e-05,0.0002470923873805082,3.083975493845392e-05
time_to_blackout_s,True,g_peak_abs,4.009779684469001,4.009779684469001,4.237441790654394,0.5177049968642957
time_to_blackout_s,True,dgdt_max_g_per_s,-0.30865798176917353,0.7130986628273974,1.9885746344857431,0.2965657064981867
time_to_blackout_s,True,profile_duration_s,0.490235060957329,2.0875260693652633,3.869009036220989,0.4812462116565261
time_to_blackout_s,True,dehydration_level,0.11014383109546401,0.12182222251346503,0.3672206944075636,0.04910097786038649
time_to_blackout_s,True,g_tolerance_multiplier,0.020605267860332222,0.0263008723020002,0.05648684224128012,0.007407800317855621
time_to_blackout_s,True,gsuit_max_psi,-0.558746519845626,0.5587849065386784,1.789757735752629,0.2561704601911119
time_to_blackout_s,True,gsuit_coverage_fraction,-0.042915017839550665,0.04344820562046115,0.21144592362087117,0.028330812076650783
time_to_blackout_s,True,agsm_effectiveness,-0.1509949507669158,0.17122736974660094,0.7374895649351343,0.10736566258780766
time_to_blackout_s,True,pbg_max_mmhg,-7.632140556187228e-05,7.63215502713069e-05,0.0010354463488693817,0.00012828606759495396
time_to_gloc_s,True,g_peak_abs,2.615440221658269,2.6157176660169834,4.615682434228363,0.5808663032602464
time_to_gloc_s,True,dgdt_max_g_per_s,-0.2751387588165491,0.42959396820234164,1.2650991706295245,0.1965095138153823
time_to_gloc_s,True,profile_duration_s,0.940635222136732,1.9424888715252107,4.073763961386557,0.579582129766697
time_to_gloc_s,True,dehydration_level,0.09005967657509727,0.09147572271380636,0.33312972037485705,0.047099653475760284
time_to_gloc_s,True,g_tolerance_multiplier,0.005281432014150232,0.005281432014150232,0.022128375599953603,0.002904241846087581
time_to_gloc_s,True,gsuit_max_psi,-0.42494521703734633,0.42494521703734633,1.981237557242578,0.27345436706771836
time_to_gloc_s,True,gsuit_coverage_fraction,-0.07891292851624969,0.07891292949525325,0.3697917139504024,0.052968074601918415
time_to_gloc_s,True,agsm_effectiveness,-0.17193859053643873,0.1769675634593116,0.8711529278367425,0.1345977681561585
time_to_gloc_s,True,pbg_max_mmhg,0.0,0.0,0.0,0.0
hlap_min,False,g_peak_abs,-0.012886676788330078,0.012886676788330078,0.01633548306186607,0.002041909193220214
hlap_min,False,dgdt_max_g_per_s,7.129669189453125e-05,0.02597135543823242,0.03959265109695577,0.004271354864636152
hlap_min,False,profile_duration_s,-0.002829570770263672,0.020188446044921874,0.029160305335434702,0.002873270213930383
hlap_min,False,dehydration_level,-4.249238977432251,4.249238977432251,0.5641630172247349,0.07720380750076679
hlap_min,False,g_tolerance_multiplier,0.006130647659301758,0.006130647659301758,0.013796830258420137,0.0019834551334554228
hlap_min,False,gsuit_max_psi,0.011086902618408202,0.011086902618408202,0.02643424397332174,0.0035051521750576304
hlap_min,False,gsuit_coverage_fraction,-0.004034805297851563,0.004095821380615234,0.013021995897891582,0.00182093050912583
hlap_min,False,agsm_effectiveness,0.003918714523315429,0.003918714523315429,0.005935707332755564,0.0007643580380838532
hlap_min,False,pbg_max_mmhg,-0.006215963363647461,0.006215963363647461,0.024580752997860597,0.0038495735429816946
c_bank_min,False,g_peak_abs,-6.462416452713078,6.462416452713078,3.193959997648006,0.43554842797117044
c_bank_min,False,dgdt_max_g_per_s,-0.7525307494026492,0.7525307494026492,0.6745532227002691,0.08956961865293905
c_bank_min,False,profile_duration_s,1.668122565614176,4.055368678677478,4.969149105247977,0.5288590000975669
c_bank_min,False,dehydration_level,-0.1853733543283306,0.1853733543283306,0.18437387804807953,0.024899449130349346
c_bank_min,False,g_tolerance_multiplier,0.039328890355536716,0.039328890355536716,0.05082987008160003,0.006664389013845833
c_bank_min,False,gsuit_max_psi,1.0407575029786675,1.0407575029786675,2.1057913595453743,0.30029935964122245
c_bank_min,False,gsuit_coverage_fraction,-0.3636173476712429,0.3884303300516331,0.9552609024795229,0.1249527832469635
c_bank_min,False,agsm_effectiveness,0.555044200248085,0.555044200248085,1.4921114076831217,0.21583960164386112
c_bank_min,False,pbg_max_mmhg,-0.03275762401521206,0.03336695455014706,0.1067929142959091,0.013879352278502101
