target,censored,feature_i,feature_j,S2,S2_conf
time_to_blackout_s,True,profile_duration_s,gsuit_coverage_fraction,0.022962426732966296,0.059399005999017936
time_to_blackout_s,True,profile_duration_s,agsm_effectiveness,0.024019798795535487,0.05923600202399056
time_to_blackout_s,True,profile_duration_s,pbg_max_mmhg,0.022962426732966296,0.059399005999017936
time_to_blackout_s,True,dehydration_level,g_tolerance_multiplier,-0.0013093399353706504,0.0037495112862516496
time_to_blackout_s,True,dehydration_level,gsuit_max_psi,-0.0013198966599174155,0.0037547732241238786
time_to_blackout_s,True,dehydration_level,gsuit_coverage_fraction,-0.0013198966599174155,0.0037547732241238786
time_to_blackout_s,True,dehydration_level,agsm_effectiveness,-0.001213904814334238,0.003673558202750299
time_to_blackout_s,True,dehydration_level,pbg_max_mmhg,-0.0013198966599174155,0.0037547732241238786
time_to_blackout_s,True,g_tolerance_multiplier,gsuit_max_psi,0.0002250297365426962,0.0008971490025693637
time_to_blackout_s,True,g_tolerance_multiplier,gsuit_coverage_fraction,0.0002250297365426962,0.0008971490025693637
time_to_blackout_s,True,g_tolerance_multiplier,agsm_effectiveness,0.0003916656009595688,0.0009155306584271214
time_to_blackout_s,True,g_tolerance_multiplier,pbg_max_mmhg,0.0002250297365426962,0.0008971490025693637
time_to_blackout_s,True,gsuit_max_psi,gsuit_coverage_fraction,0.0,0.0
time_to_blackout_s,True,gsuit_max_psi,agsm_effectiveness,2.6020852139652106e-18,6.796952940303509e-18
time_to_blackout_s,True,gsuit_max_psi,pbg_max_mmhg,0.0,0.0
time_to_blackout_s,True,gsuit_coverage_fraction,agsm_effectiveness,2.6020852139652106e-18,6.796952940303509e-18
time_to_blackout_s,True,gsuit_coverage_fraction,pbg_max_mmhg,0.0,0.0
time_to_blackout_s,True,agsm_effectiveness,pbg_max_mmhg,0.0033841311957658674,0.021051526681195216
time_to_gloc_s,True,g_peak_abs,dgdt_max_g_per_s,0.08084326456355903,0.17646600050054861
time_to_gloc_s,True,g_peak_abs,profile_duration_s,0.15818673093967628,0.1894833147828473
time_to_gloc_s,True,g_peak_abs,dehydration_level,0.02897822553072064,0.16471937185075533
time_to_gloc_s,True,g_peak_abs,g_tolerance_multiplier,0.03027477130553251,0.16466374448620097
time_to_gloc_s,True,g_peak_abs,gsuit_max_psi,0.03029098348485737,0.16466995223747788
time_to_gloc_s,True,g_peak_abs,gsuit_coverage_fraction,0.03029098348485737,0.16466995223747788
time_to_gloc_s,True,g_peak_abs,agsm_effectiveness,0.03003819595320203,0.1645757741518769
time_to_gloc_s,True,g_peak_abs,pbg_max_mmhg,0.03029098348485737,0.16466995223747788
time_to_gloc_s,True,dgdt_max_g_per_s,profile_duration_s,-0.021608860505715158,0.050500658531534307
time_to_gloc_s,True,dgdt_max_g_per_s,dehydration_level,-0.009100224575115216,0.04048836175298036
time_to_gloc_s,True,dgdt_max_g_per_s,g_tolerance_multiplier,-0.01209284690709873,0.040496375490474815
time_to_gloc_s,True,dgdt_max_g_per_s,gsuit_max_psi,-0.012084949556970299,0.0405035106435387
time_to_gloc_s,True,dgdt_max_g_per_s,gsuit_coverage_fraction,-0.012084949556970299,0.0405035106435387
time_to_gloc_s,True,dgdt_max_g_per_s,agsm_effectiveness,-0.011958154202477457,0.04026040988400267
time_to_gloc_s,True,dgdt_max_g_per_s,pbg_max_mmhg,-0.012084949556970299,0.0405035106435387
time_to_gloc_s,True,profile_duration_s,dehydration_level,-0.025828859944349473,0.06397148455346088
time_to_gloc_s,True,profile_duration_s,g_tolerance_multiplier,-0.02567360014585093,0.06384158473874019
time_to_gloc_s,True,profile_duration_s,gsuit_max_psi,-0.02567627079193975,0.06384320462848059
time_to_gloc_s,True,profile_duration_s,gsuit_coverage_fraction,-0.02567627079193975,0.06384320462848059
time_to_gloc_s,True,profile_duration_s,agsm_effectiveness,-0.025258218246405468,0.06533849996191517
time_to_gloc_s,True,profile_duration_s,pbg_max_mmhg,-0.02567627079193975,0.06384320462848059
time_to_gloc_s,True,dehydration_level,g_tolerance_multiplier,-0.0002084286141394267,0.004645453546199494
time_to_gloc_s,True,dehydration_level,gsuit_max_psi,-0.0002082302132276133,0.004645502097880646
time_to_gloc_s,True,dehydration_level,gsuit_coverage_fraction,-0.0002082302132276133,0.004645502097880646
time_to_gloc_s,True,dehydration_level,agsm_effectiveness,0.0009056331784033237,0.005763873658552129
time_to_gloc_s,True,dehydration_level,pbg_max_mmhg,-0.0002082302132276133,0.004645502097880646
time_to_gloc_s,True,g_tolerance_multiplier,gsuit_max_psi,-2.9766079700050165e-05,5.348942910106798e-05
time_to_gloc_s,True,g_tolerance_multiplier,gsuit_coverage_fraction,-2.9766079700050165e-05,5.348942910106798e-05
time_to_gloc_s,True,g_tolerance_multiplier,agsm_effectiveness,-3.139098755492332e-05,5.477154223166143e-05
time_to_gloc_s,True,g_tolerance_multiplier,pbg_max_mmhg,-2.9766079700050165e-05,5.348942910106798e-05
time_to_gloc_s,True,gsuit_max_psi,gsuit_coverage_fraction,0.0,0.0
time_to_gloc_s,True,gsuit_max_psi,agsm_effectiveness,-1.3010426069826053e-18,7.763556462048059e-18
time_to_gloc_s,True,gsuit_max_psi,pbg_max_mmhg,0.0,0.0
time_to_gloc_s,True,gsuit_coverage_fraction,agsm_effectiveness,-1.3010426069826053e-18,7.763556462048059e-18
time_to_gloc_s,True,gsuit_coverage_fraction,pbg_max_mmhg,0.0,0.0
time_to_gloc_s,True,agsm_effectiveness,pbg_max_mmhg,0.006525422072177122,0.023159648472622783
hlap_min,False,g_peak_abs,dgdt_max_g_per_s,3.7433020190010436e-05,0.0006047097831288511
